Temperature,Humidity,CO2,Occupancy
21.7,26.79,525.5,0
21.7,26.79,514,0
21.7,26.7,518,0
21.7,26.7,518,0
21.7,26.7,520,0
21.6,26.7,521,0
21.6,26.6,518,0
21.6,26.65,517,0
21.6,26.6,511.5,0
21.65,26.65,514,0
21.6,26.55,515.5,0
21.6,26.5,517,0
21.6,26.5,515,0
21.6,26.5,512,0
21.6,26.5,515,0
21.65,26.55,511,0
21.6,26.5,514,0
21.6,26.445,508,0
21.6,26.4725,509.75,0
21.6,26.445,508.75,0
21.6,26.445,508.5,0
21.6,26.39,507,0
21.6,26.39,507,0
21.6,26.39,503.5,0
21.6,26.39,504,0
21.6,26.39,504,0
21.575,26.315,500.5,0
21.6,26.29,500,0
21.6,26.29,503.5,0
21.55,26.245,503,0
21.55,26.245,502.5,0
21.5,26.2,502,0
21.56666667,26.2,502,0
21.5,26.2,502.5,0
21.5,26.2,497,0
21.5,26.15,501.5,0
21.5,26.15,504,0
21.5,26.1,501,0
21.5,26.1,493.75,0
21.5,26.1,500,0
21.5,26.1,504.5,0
21.5,26.05,504,0
21.5,26.1,501,0
21.5,26,499,0
21.5,26,502,0
21.5,26,503.5,0
21.5,26,500.6666667,0
21.5,26,493,0
21.5,26,492.5,0
21.5,26,493,0
21.5,25.89,495.5,0
21.5,26,492.6666667,0
21.5,26,490,0
21.5,25.92666667,493,0
21.5,25.89,494.6666667,0
21.5,25.89,496,0
21.5,25.89,491,0
21.5,25.84,490.5,0
21.5,25.84,490,0
21.5,25.89,491,0
21.5,25.89,491.6666667,0
21.5,25.89,493.5,0
21.4725,25.865,493.75,0
21.5,25.84,490,0
21.5,25.79,488,0
21.5,25.79,490,0
21.5,25.79,487,0
21.445,25.745,492.5,0
21.445,25.745,493.5,0
21.46333333,25.76,493.3333333,0
21.445,25.745,488,0
21.5,25.79,487.5,0
21.42666667,25.73,485.3333333,0
21.39,25.7,484,0
21.39,25.7,489,0
21.445,25.745,488,0
21.5,25.79,493,0
21.39,25.7,491,0
21.445,25.745,488,0
21.445,25.745,487.25,0
21.39,25.7,489,0
21.5,25.79,489,0
21.39,25.7,486,0
21.42666667,25.73,484.6666667,0
21.39,25.7,485,0
21.39,25.7,487,0
21.39,25.7,492,0
21.39,25.7,490.6666667,0
21.39,25.7,488,0
21.39,25.7,485.5,0
21.39,25.7,486,0
21.39,25.7,485.5,0
21.39,25.7,486,0
21.39,25.7,480,0
21.39,25.7,481,0
21.39,25.7,481.6666667,0
21.39,25.7,485.5,0
21.39,25.7,485,0
21.39,25.7,473,0
21.39,25.7,475,0
21.39,25.7,486,0
21.39,25.7,481.5,0
21.39,25.7,483,0
21.39,25.7,479,0
21.39,25.7,479,0
21.39,25.7,479,0
21.34,25.7,479,0
21.39,25.7,479,0
21.39,25.7,477,0
21.39,25.7,477.5,0
21.29,25.7,477.5,0
21.34,25.7,480,0
21.29,25.7,480,0
21.34,25.7,482,0
21.32333333,25.7,480.3333333,0
21.34,25.7,477.5,0
21.29,25.7,476,0
21.39,25.7,479,0
21.39,25.7,471,0
21.29,25.7,474,0
21.29,25.7,477.5,0
21.34,25.7,476,0
21.29,25.7,474.25,0
21.39,25.7,475,0
21.29,25.7,476.5,0
21.34,25.7,474.5,0
21.29,25.7,478,0
21.29,25.7,475.3333333,0
21.29,25.7,477,0
21.29,25.7,475.5,0
21.29,25.7,477.5,0
21.29,25.7,477.5,0
21.29,25.7,478,0
21.29,25.7,473.5,0
21.29,25.7,472.5,0
21.29,25.7,472,0
21.29,25.7,469.5,0
21.29,25.7,466.6666667,0
21.29,25.7,467,0
21.29,25.7,469.5,0
21.2,25.6,469,0
21.29,25.7,471,0
21.29,25.7,469,0
21.26,25.66666667,467.3333333,0
21.245,25.65,471.5,0
21.23,25.63333333,471.6666667,0
21.29,25.7,475,0
21.2,25.6,471,0
21.2,25.6,471,0
21.245,25.65,471,0
21.245,25.65,474.5,0
21.2,25.6,475.5,0
21.2,25.6,474,0
21.2,25.6,469,0
21.2,25.6,474,0
21.2,25.6,474,0
21.2,25.6,468.5,0
21.2,25.6,469.5,0
21.2,25.6,472.5,0
21.2,25.6,467.5,0
21.2,25.6,469,0
21.2,25.55,466.5,0
21.2,25.5,469.5,0
21.2,25.5,469,0
21.2,25.5,467,0
21.2,25.5,467.3333333,0
21.2,25.5,467,0
21.2,25.5,464.5,0
21.2,25.445,466,0
21.2,25.5,473,0
21.2,25.39,475,0
21.2,25.39,471,0
21.2,25.39,470,0
21.2,25.39,466.25,0
21.2,25.39,467,0
21.2,25.39,473,0
21.2,25.39,468,0
21.2,25.39,463,0
21.2,25.39,466,0
21.2,25.39,467,0
21.2,25.29,468,0
21.2,25.39,468,0
21.2,25.29,468,0
21.2,25.34,465.5,0
21.2,25.39,464,0
21.2,25.34,464.5,0
21.2,25.29,465.6666667,0
21.2,25.365,465.75,0
21.2,25.39,464,0
21.2,25.39,467,0
21.15,25.39,466.5,0
21.2,25.39,465,0
21.2,25.39,462,0
21.2,25.39,459.6666667,0
21.2,25.29,458,0
21.2,25.34,462.5,0
21.2,25.29,467,0
21.2,25.29,466.5,0
21.2,25.29,463,0
21.2,25.29,465,0
21.2,25.29,463.25,0
21.2,25.29,460,0
21.2,25.29,457,0
21.2,25.29,456,0
21.245,25.245,454,0
21.23,25.23,454,0
21.29,25.29,458,0
21.2,25.2,456,0
21.245,25.245,456.5,0
21.245,25.245,458.5,0
21.26,25.26,459.6666667,0
21.245,25.245,464,0
21.245,25.2,465,0
21.29,25.2,461,0
21.245,25.2,458.5,0
21.29,25.2,459,0
21.29,25.2,451,0
21.29,25.2,456,0
21.29,25.2,463,0
21.29,25.2,461.6666667,0
21.29,25.2,458,0
21.29,25.2,450,0
21.29,25.2,457,0
21.29,25.2,456,0
21.29,25.2,456,0
21.29,25.2,461,0
21.29,25.2,463,0
21.29,25.2,460,0
21.29,25.2,456,0
21.29,25.2,454.5,0
21.29,25.2,448.5,0
21.29,25.2,453.5,0
21.29,25.2,454,0
21.29,25.2,454,0
21.29,25.245,450.5,0
21.29,25.245,453,0
21.2,25.2,457,0
21.2,25.2,452.5,0
21.2,25.2,449,0
21.2,25.2,458.6666667,0
21.2,25.2,454.5,0
21.2,25.245,455.5,0
21.2,25.245,453.5,0
21.2,25.29,452,0
21.2,25.29,451.5,0
21.2,25.29,451,0
21.16666667,25.35666667,450.3333333,0
21.16666667,25.39,450,0
21.15,25.39,453.5,0
21.1,25.39,454,0
21.15,25.39,452.5,0
21.1,25.39,454,0
21.1,25.39,457,0
21.1,25.46333333,450.3333333,0
21.1,25.5,451,0
21.1,25.5,451,0
21.05,25.445,449,0
21.1,25.5,449,0
21.05,25.445,450,0
21.05,25.445,449,0
21.1,25.5,445,0
21,25.39,443,0
21.1,25.5,446.5,0
21.1,25.5,446,0
21.1,25.5,451.5,0
21.1,25.39,445,0
21.1,25.39,449,0
21.1,25.39,451.6666667,0
21.1,25.39,452,0
21.1,25.39,451,0
21.05,25.34,450,0
21.1,25.39,450,0
21.1,25.39,448,0
21.1,25.39,450.6666667,0
21.1,25.39,450,0
21.15,25.39,446,0
21.1,25.39,444,0
21.125,25.39,447.5,0
21.13333333,25.39,443.3333333,0
21.1,25.34,443.5,0
21.1,25.34,444,0
21.15,25.34,449,0
21.2,25.29,449.3333333,0
21.15,25.29,448,0
21.15,25.245,449.5,0
21.2,25.245,450,0
21.2,25.2,447,0
21.2,25.2,446,0
21.13333333,25.2,443,0
21.16666667,25.2,444,0
21.2,25.2,444.5,0
21.2,25.2,445,0
21.2,25.2,451,0
21.2,25.2,450,0
21.2,25.2,444,0
21.2,25.2,443,0
21.2,25.1,438.5,0
21.2,25.1,441,0
21.2,25.1,444,0
21.2,25.15,441.5,0
21.2,25.1,441,0
21.2,25.1,439.5,0
21.2,25.1,441,0
21.2,25.1,442,0
21.2,25.1,441,0
21.2,25.1,436,0
21.2,25.1,442.5,0
21.2,25.1,446,0
21.2,25.1,443,0
21.2,25.1,437.5,0
21.2,25.1,440.5,0
21.2,25.05,439.5,0
21.2,25,443,0
21.2,25,443,0
21.2,25,438.5,0
21.2,25,438,0
21.2,25,442.3333333,0
21.2,25,448,0
21.2,25.1,447.5,0
21.125,25.1,445.75,0
21.1,25,439,0
21.1,25.1,440,0
21.1,25.1,441.5,0
21.1,25.06666667,439,0
21.1,25,439,0
21.1,25.1,437.5,0
21.05,25.05,437.5,0
21.1,25.1,439.3333333,0
21.1,25.1,443,0
21,25,440.5,0
21,25,442.3333333,0
21,25,440.6666667,0
21,25,440,0
21,25,439,0
21,25,442,0
21,25,443.5,0
21,25,445,0
21,25,445,0
21,25.05,442.5,0
21,25.1,440,0
21,25,439.5,0
21,25,438.5,0
21,25,435,0
21,25,439.5,0
21,25,440.5,0
21,25,439.5,0
21,25,441,0
21,25,442,0
21,25,445,0
21,25,444,0
21,25,445,0
21,24.89,444,0
21,24.89,443,0
21,24.89,448,0
21.05,24.945,443,0
21.05,24.945,440,0
21,24.89,440,0
21.03333333,24.92666667,441,0
21.05,24.945,440.5,0
21.05,24.945,444.5,0
21.1,25,446,0
21.05,24.945,442.5,0
21,24.89,439,0
21.1,24.89,441,0
21.1,24.89,438.3333333,0
21.03333333,24.89,439.5,0
21.075,24.9725,440.75,0
21.03333333,24.92666667,437,0
21.1,24.945,440.5,0
21.1,24.9175,442.25,0
21.1,24.89,435,0
21.1,24.89,435.5,0
21.1,24.89,432,0
21.1,24.89,439.5,0
21.05,24.84,442.5,0
21.1,24.89,438.5,0
21.05,24.84,435.5,0
21.06666667,24.85666667,437.3333333,0
21.1,24.89,437,0
21.03333333,24.82333333,438,0
21.025,24.84,435,0
21,24.79,440,0
21,24.82333333,441.3333333,0
21,24.85666667,435,0
21,24.89,432,0
21,24.89,435.5,0
21,24.89,444,0
21,24.84,444.5,0
21,24.89,446,0
21,24.89,445,0
21,24.89,438.3333333,0
21,24.89,445.5,0
21,24.89,439,0
21,24.89,439,0
20.945,24.89,439.5,0
20.96333333,24.89,443.3333333,0
20.89,24.89,443.5,0
20.92666667,24.89,444,0
21,24.89,447.5,0
20.89,24.89,445.5,0
20.89,24.89,443,0
20.89,24.89,438,0
20.89,24.89,428,0
20.89,24.89,431,0
20.89,24.89,441,0
20.89,24.89,446,0
20.89,24.89,447,0
20.89,24.89,439,0
20.89,24.89,438.3333333,0
20.89,24.89,442,0
20.92666667,24.79,443.3333333,0
20.89,24.79,448,0
20.89,24.79,444.5,0
20.92666667,24.79,443.3333333,0
20.945,24.79,445,0
21,24.7,445,0
21,24.7,443.5,0
21,24.7,439,0
21,24.7,441.5,0
21,24.63333333,441.3333333,0
21,24.6,441,0
21,24.6,441,0
21,24.6,440,0
21,24.6,436,0
21,24.6,444,0
21,24.6,442,0
21,24.6,443.6666667,0
21,24.6,439.5,0
21,24.56666667,439.3333333,0
21,24.55,443.5,0
21,24.5,445,0
21,24.5,441.5,0
21,24.5,445,0
21,24.5,444.5,0
21,24.5,443.6666667,0
21,24.5,445.5,0
21,24.445,445,0
21,24.445,443.5,0
21,24.39,447,0
21,24.39,444,0
21,24.5,442.5,0
21,24.42666667,445,0
21,24.5,444,0
21,24.39,440,0
21,24.39,445.5,0
21,24.39,444.5,0
21,24.39,442.5,0
21,24.39,444,0
21,24.39,442,0
21,24.35666667,442.6666667,0
21,24.29,439,0
20.89,24.39,440,0
20.945,24.39,440,0
21,24.39,444,0
20.89,24.39,439.5,0
20.89,24.39,440,0
20.89,24.39,440,0
20.89,24.29,442,0
20.89,24.34,445,0
20.85666667,24.35666667,447,0
20.89,24.39,446,0
20.89,24.34,445,0
20.89,24.39,445,0
20.89,24.29,443,0
20.89,24.29,442,0
20.84,24.245,444,0
20.89,24.39,443.5,0
20.89,24.29,441,0
20.85666667,24.26,441,0
20.89,24.29,444,0
20.89,24.29,445.5,0
20.89,24.29,441,0
20.89,24.29,445.3333333,0
20.89,24.2,442,0
20.89,24.29,442,0
20.89,24.2,446.5,0
20.85666667,24.16666667,444.3333333,0
20.89,24.2,445.5,0
20.89,24.2,441.5,0
20.865,24.175,447.25,0
20.89,24.2,448,0
20.89,24.175,447.25,0
20.89,24.2,439,0
20.89,24.15,440,0
20.89,24.2,440,0
20.89,24.1,445,0
20.89,24,438,0
20.945,24,438.5,0
21,24,440,0
20.945,24,446,0
20.945,24,447,0
20.92666667,24,447,0
20.89,24,445,0
20.89,24,446.5,0
20.945,24,446,0
20.89,23.89,453,0
21,23.89,451,0
21,23.84,448.5,0
21,23.82333333,444.6666667,0
21,23.79,447,0
21,23.79,447,0
21,23.79,445,0
21,23.79,446.5,0
21,23.79,446.5,0
21,23.7675,442.25,0
21,23.79,443,0
21,23.79,443,0
20.96333333,23.79,442.3333333,0
20.89,23.79,444.5,0
20.89,23.73,443.3333333,0
20.9175,23.7225,446.5,0
20.89,23.7,449,0
20.89,23.7,449.5,0
20.89,23.6,448.5,0
20.89,23.7,446,0
20.89,23.6,446,0
20.89,23.6,444,0
20.89,23.6,443.3333333,0
20.89,23.63333333,441.6666667,0
20.89,23.6,449.5,0
20.89,23.6,448.5,0
20.89,23.6,450,0
20.89,23.6,448.5,0
20.945,23.6,446.5,0
20.89,23.6,452.5,0
20.89,23.6,451,0
20.945,23.5,450.6666667,0
20.89,23.5,449,0
20.945,23.5,449,0
20.945,23.5,448.5,0
20.89,23.5,452,0
20.89,23.5,444,0
20.89,23.5,443.5,0
20.89,23.5,446,0
20.89,23.5,449,0
20.92666667,23.5,448,0
20.89,23.5,448,0
20.89,23.5,449,0
20.945,23.5,443,0
20.89,23.5,444.25,0
20.89,23.5,445.3333333,0
20.89,23.5,444.5,0
20.89,23.5,446.5,0
20.89,23.445,446,0
20.89,23.445,448.5,0
20.89,23.39,450,0
20.89,23.445,450.5,0
20.89,23.5,448,0
20.89,23.5,448.3333333,0
20.89,23.445,446.5,0
20.89,23.5,442.5,0
20.89,23.5,440.5,0
20.89,23.5,443,0
20.89,23.5,453,0
20.89,23.42666667,450,0
20.89,23.445,451,0
20.89,23.39,452.3333333,0
20.89,23.445,448,0
20.89,23.39,448,0
20.84,23.395,446.5,0
20.89,23.39,449,0
20.84,23.34,446.5,0
20.89,23.39,448,0
20.89,23.39,450.5,0
20.89,23.39,450.5,0
20.84,23.34,448,0
20.89,23.39,448,0
20.89,23.34,451,0
20.865,23.2925,450,0
20.89,23.34,448.5,0
20.85666667,23.26,449.5,0
20.89,23.29,446,0
20.89,23.29,443,0
20.89,23.29,443,0
20.89,23.29,448,0
20.84,23.245,448.5,0
20.89,23.29,448.5,0
20.89,23.29,448,0
20.89,23.29,450.5,0
20.89,23.2,451,0
20.89,23.2,453,0
20.89,23.2,449,0
20.89,23.2,448.5,0
20.89,23.2,448.5,0
20.89,23.15,448.5,0
20.89,23.15,453.5,0
20.84,23.075,451,0
20.89,23.1,451.3333333,0
20.89,23.1,452,0
20.89,23.1,452.5,0
20.85666667,23.06666667,450.5,0
20.89,23.1,445.6666667,0
20.89,23.1,449.5,0
20.89,23.1,450,0
20.89,23.1,454,0
20.89,23.1,452,0
20.89,23.1,453.75,0
20.89,23.1,448.5,0
20.89,23.1,447,0
20.89,23.1,447.75,0
20.89,23.1,452,0
20.89,23,454,0
20.84,23.05,455,0
20.89,23.1,455,0
20.85666667,23.06666667,449,0
20.89,23,449,0
20.89,23,452,0
20.89,23,449,0
20.79,22.89,450,0
20.79,22.89,452,0
20.84,22.945,449,0
20.79,22.89,448.3333333,0
20.79,22.84,448,0
20.79,22.84,449.5,0
20.79,22.89,454,0
20.79,22.89,452,0
20.79,22.89,454.5,0
20.7,22.89,454.5,0
20.745,22.84,454,0
20.7,22.89,454.5,0
20.745,22.84,454,0
20.79,22.79,458,0
20.7,22.79,455.5,0
20.7,22.79,452,0
20.76,22.79,458.3333333,0
20.7,22.79,460,0
20.7,22.79,455,0
20.7,22.79,455,0
20.73,22.79,449,0
20.7,22.79,459,0
20.7,22.7,457,0
20.73,22.7,454,0
20.7,22.7,452.5,0
20.7,22.7675,456.75,0
20.7,22.79,454.5,0
20.7,22.7,453.5,0
20.7,22.7,458,0
20.7,22.7,451.5,0
20.7,22.7,451,0
20.7,22.7,455.6666667,0
20.7,22.7,457.5,0
20.7,22.7,452,0
20.7,22.65,451,0
20.7,22.63333333,454.6666667,0
20.7,22.6,454.6666667,0
20.7,22.6,454.5,0
20.7,22.6,456,0
20.7,22.5,455,0
20.7,22.5,451.5,0
20.7,22.5,455,0
20.7,22.5,454.5,0
20.7,22.5,451.6666667,0
20.7,22.5,453.5,0
20.7,22.5,456.5,0
20.7,22.5,457,0
20.7,22.5,454,0
20.7,22.5,453.5,0
20.7,22.5,457,0
20.7,22.445,459,0
20.7,22.5,459,0
20.7,22.39,454.75,0
20.7,22.39,457,0
20.7,22.39,458,0
20.7,22.39,449,0
20.7,22.39,451,0
20.7,22.39,457.5,0
20.7,22.39,457,1
20.7,22.4175,460.25,0
20.7,22.5,465.3333333,0
20.7,22.46333333,472.6666667,0
20.7225,22.5,470.75,1
20.73,22.5,472,1
20.7225,22.525,470.5,1
20.7675,22.65,478,1
20.79,22.79,492,1
20.815,22.8675,497.75,1
20.82333333,23.03333333,499,1
20.815,23.025,507,1
20.89,23.175,514.75,1
20.89,23.29,515,1
20.89,23.29,520.75,1
20.89,23.29,526,1
20.89,23.32333333,527,1
20.945,23.39,531.25,1
20.96333333,23.46333333,536,1
21,23.5,542.75,1
21,23.5,541,1
21,23.56666667,548.5,1
21,23.6,553.25,1
21,23.6,559.25,1
21,23.6,567.3333333,1
21,23.7,569,1
21,23.7,576,1
21.025,23.7225,578.75,1
21.025,23.7225,585.75,1
21.05,23.745,590,1
21.025,23.7225,590,1
21.1,23.76,587.6666667,1
21.075,23.72,594,1
21.03333333,23.66666667,602.3333333,1
21.075,23.7675,611,1
21.1,23.79,611.3333333,1
21.1,23.79,613,1
21.1,23.73,615,1
21.15,23.7225,615.75,1
21.2,23.745,620.5,1
21.2,23.79,630.6666667,1
21.2,23.79,640.5,1
21.26,23.85666667,641,1
21.29,23.865,650.75,1
21.29,23.89,650.5,0
21.29,23.89,651,1
21.32333333,23.92666667,654.6666667,1
21.29,24,664.25,1
21.34,24,675.4,1
21.29,24.05,675,1
21.29,24.1,679,1
21.315,24.175,685.5,1
21.29,24.2,689.3333333,1
21.29,24.2,692.75,1
21.34,24.15,695.5,1
21.32333333,24.1,693.3333333,1
21.29,24.1,694.25,1
21.34,24.2225,703,1
21.29,24.29,704.5,1
21.34,24.29,709,1
21.34,24.29,721.5,1
21.32333333,24.29,727,1
21.35666667,24.29,733,1
21.365,24.29,736.25,1
21.39,24.29,742,1
21.35666667,24.29,742.6666667,1
21.32333333,24.29,737,1
21.39,24.2675,739.25,1
21.32333333,24.29,752,1
21.39,24.29,753.75,1
21.365,24.2225,746.25,1
21.39,24.26,754.6666667,1
21.39,24.26,755.3333333,1
21.39,24.29,758.25,1
21.39,24.29,766.6,1
21.39,24.29,781,1
21.4175,24.315,785.5,1
21.39,24.29,789.6666667,1
21.445,24.34,787.5,1
21.46333333,24.35666667,787.6666667,1
21.5,24.39,782.5,1
21.5,24.39,782.3333333,1
21.5,24.39,786,1
21.5,24.35666667,786.6666667,1
21.5,24.365,785.25,1
21.5,24.29,788,1
21.525,24.5425,791.25,1
21.55,24.5175,808.75,1
21.6,24.39,812,1
21.6,24.55,811,1
21.7,24.7,817.75,1
21.7,24.69666667,833.25,1
21.7675,24.865,847.75,1
21.79,24.89,854,1
21.815,24.9175,863.5,1
21.84,25.0225,869.75,1
21.89,25.15,880,1
21.89,25.2,895.75,1
21.89,25.2,895.5,1
21.89,25.2925,910.75,1
21.9175,25.39,919.25,1
21.96333333,25.39333333,925.3333333,1
22,25.4725,933.75,1
22,25.5,936,1
22,25.519,939.375,1
22,25.538,942.75,1
22.025,25.5975,948.25,1
22.05,25.7475,961.5,1
22.06666667,25.79333333,969.3333333,1
22.06666667,25.89333333,973.6666667,1
22.1,25.92666667,986.3333333,1
22.1,25.945,994.5,1
22.1,26.075,1003.25,1
22.1,25.83,1006.666667,1
22.1,25.82333333,1009,1
22.1,25.8,998.75,1
22.1,25.8225,998,1
22.1,26.05,1008,1
22.1,26.1,1021,1
22.1,26.0725,1029.5,1
22.1,25.745,1025,1
22.1,25.79333333,1015,1
22.1,25.945,1011,1
22.1,26.03,1011.666667,1
22.125,26.025,1025,1
22.1,26.1,1026.75,1
22.1,26.1,1035,1
22.1,26.175,1032,1
22.1,26.2,1025.666667,1
22.1,26.1975,1026.5,1
22.1,26.2,1024,1
22.075,26.2,1023.5,1
22.075,26.2225,1026.5,1
22.1,26.29,1031.333333,1
22.1,26.29,1027,1
22.1,26.29,1031,1
22.1,26.35666667,1033,1
22.1,26.315,1037,1
22.1,26.39,1038,1
22.1,26.39,1034.5,1
22.1,26.39,1038.5,1
22.1,26.39,1037,1
22.1,26.5225,1037.5,1
22.125,26.4425,1032.75,1
22.1,26.47,1031.5,1
22.1,26.445,1039.25,1
22.1,26.5,1038,1
22.1,26.445,1040.25,1
22.1,26.5,1036.75,1
22.1,26.55,1045.5,1
22.1,26.5,1038,1
22.1,26.5,1041.75,1
22.1,26.6,1047.5,1
22.1,26.6,1045.5,1
22.1,26.575,1041.5,1
22.15,26.6,1043,1
22.1,26.7,1049,1
22.1,26.66666667,1048,1
22.1,26.675,1047,1
22.1,26.625,1047.4,1
22.1,26.65,1050,1
22.1,26.625,1047.75,1
22.1,26.65,1047,1
22.1,26.64,1048.25,1
22.1,26.63333333,1044,0
22.1,26.6,1036.5,0
22.05,26.575,1039,0
22.05,26.55,1039,0
22.025,26.4425,1034.25,1
22.05,26.34,1024.5,1
22,26.29,1024.75,1
22,26.29,1024,1
22,26.23,1021.666667,1
22.06666667,26.26,1016,1
22.05,26.245,1009,1
22.075,26.2925,1006.25,1
22.1,26.29,1007.5,1
22.1,26.245,1008,1
22.1,26.245,1002.5,1
22.1,26.245,999,1
22.1,26.245,1006,1
22.1,26.2,1003,1
22.08,26.216,1006.5,1
22.1,26.2,1014,1
22,26.1,1009,1
22.08,26.18,1009.6,1
22.025,26.125,1010.5,1
22,26.175,1012.5,1
22.03333333,26.23,1013.666667,1
22.075,26.2675,1023.25,1
22,26.2,1025,1
22.075,26.29,1022,1
22.06666667,26.35666667,1024,1
22.05,26.34,1030.5,1
22.06666667,26.35666667,1032,1
22.075,26.3425,1033,1
22.025,26.34,1031,1
22.025,26.315,1039,1
22.03333333,26.39,1044.333333,1
22.075,26.365,1039.5,1
22.075,26.365,1044,1
22.06666667,26.42666667,1044.666667,1
22.06666667,26.46333333,1051,1
22.1,26.5,1047,1
22.1,26.5,1054,1
22.1,26.5,1063.75,1
22.1,26.5,1063.5,1
22.1,26.525,1061.25,1
22.1,26.6,1065.666667,1
22.1,26.6,1073.25,1
22.1,26.6,1083.666667,1
22.1,26.6,1082,1
22.13333333,26.6,1077,1
22.1,26.6,1077.333333,1
22.175,26.6,1079.5,1
22.175,26.6,1077.75,1
22.175,26.6,1067.75,1
22.175,26.6,1070.25,1
22.2,26.6,1070.333333,1
22.2,26.6,1075.5,1
22.2,26.6,1076.5,1
22.2,26.6,1068,1
22.2,26.6,1071.5,1
22.15,26.6,1075.75,1
22.15,26.6,1073.25,1
22.2,26.6,1069,1
22.175,26.675,1062.5,1
22.2,26.7,1066.25,1
22.2,26.76333333,1060,1
22.16666667,26.85666667,1077,1
22.2,26.79,1091.75,1
22.2,26.85666667,1097.333333,1
22.175,26.9175,1096.75,1
22.2,26.9175,1104,1
